ThumbnailImage,thumbnail-image,Thumbnail Image
311,somhi,Closed stores Hindi mss
312,somja,Closed stores Japanese mss
313,somml,Closed stores Malayan mss
314,sompa,Closed stores Pali mss
315,sompe,Closed stores Persian mss
316,sompr,Closed stores Prakrit mss
317,somsa,Closed stores Sanskrit mss alpha
318,somsb,Closed stores Sanskrit mss beta
319,somsc,Closed stores Sanskrit mss gamma
320,somsd,Closed stores Sanskrit mss delta
321,somse,Closed stores Sanskrit mss epsi
322,somsi,Closed stores Sinhalese mss
323,somsr,Closed stores Turkish Ottoman mss
324,somsy,Closed stores Syriac mss
325,somtb,Closed stores Tibetan mss
326,sopam,Closed stores Oriental pam.
327,sopme,Closed stores Orient. Mehta
328,soref,Closed stores Orient. ref.
329,sorex,Closed stores Orient. ref. O/S
330,soser,Closed stores Oriental journals
331,sotop,Closed stores Orient. Topog.
332,sreg,SELF REGISTERED
333,sslob,Closed stores Student Coll
334,sslor,Closed stores Student Reprint
335,stax,Closed stores
336,swm#1,Unrequestable WMS 1
337,swm#2,Unrequestable WMS 2
338,swm#3,Unrequestable WMS 3
339,swm#4,Unrequestable WMS 4
340,swm#5,Unrequestable WMS 5
341,swm#6,Unrequestable WMS 6
342,swm#7,Unrequestable WMS 7
343,swm#m,Unrequestable WMS Amer.
344,swm#o,Unrequestable WMS MSL
345,swmal,Closed stores WMS Als
346,swmam,Closed stores WMS Amer.
347,swmlo,Closed stores WMS MSL
348,swms1,Closed stores WMS 1
349,swms2,Closed stores WMS 2
350,swms3,Closed stores WMS 3
351,swms4,Closed stores WMS 4
352,swms5,Closed stores WMS 5
353,swms6,Closed stores WMS 6
354,swms7,Closed stores WMS 7
355,swmti,Closed stores WMS Ticehurst
356,szmon,Closed stores prof. monographs
357,szser,Closed stores prof. journals
358,temp,temp. location
359,temp1,At Digitisation
360,temp2,Temporarily in use
361,temp3,At Digitisation
362,temp4,At Digitisation
363,temp5,At Digitisation
364,temp6,At Digitisation
365,virm,Viewing Room
366,wgcom,Closed stores computer media
367,wghib,Biographies
368,wghig,Gallery
369,wghip,Rare Materials Room
370,wghir,Reading Room
371,wghxb,OBSOLETE Folios
372,wghxg,Folios
373,wghxp,OBSOLETE Folios
374,wghxr,OBSOLETE Folios
375,wgmem,Medical Collection
376,wgmxm,OBSOLETE Medical Collection oversize
377,wgpvm,History of Medicine
378,wgsee,Journals
379,wgsem,Journals
380,wgser,Journals
381,whml,Open shelves
382,wmso,Western Mss Collection
383,wqrfc,Quick Ref. Collection
384,wqrfd,OBSOLETE Poynter Room [Desk]
385,wqrfe,Enquiry Line
386,wqrfp,Rare Materials Room Reference
387,wqrfr,OBSOLETE Enquiry Hall
388,wsdis,Closed stores Student diss
389,wslob,Student Collection
390,wslom,Student Coll (Med Lit)
391,wslor,Student Coll.  reprints
392,wslox,Student Coll. (oversize)
393,wsref,Student Coll. (ref only)
394,wsrer,Student Coll. reprints (ref only)
395,wsrex,Student Coll. (Ref. O/S)
396,zcql,Acquisitions Z39.50
397,zzzzz,-

